Contract ID,Customer,Annual Premium
G200193,Frank-May,74806.06
G200194,"Howard, Brown and Gray",396867.71
G200195,Mendoza Ltd,479010.05
G200196,Cunningham-Rosales,221015.07
G200197,Ashley Miller,339778.0
G200198,"Faulkner, Banks and Sanders",257686.83
G200199,"Long, Parks and Gonzalez",133715.9
G200200,Alexander Mclaughlin,447080.97
G200201,Hughes Inc,469643.8
G200202,Madison Jones,83624.01
G200203,Amy Roberts,254505.89
G200204,Wilson LLC,136670.76
G200205,Velez PLC,24628.61
G200206,"Gross, King and Thornton",202333.89
G200207,Tony Lee,220988.22
G200208,Martinez-Cline,424037.71
G200209,Juan Allen,413817.19
G200210,"Brown, Mccoy and Barr",48856.35
G200211,Browning Group,479235.59
G200212,Lisa Hill,450676.28
G200213,Lindsey Gray,194210.24
G200214,Calhoun-Miller,15780.33
G200215,Perez-Lee,357031.19
G200216,Park-Carlson,271862.65
G200217,"Miller, Bautista and Morton",299409.09
G200218,White-Lowery,489078.72
G200219,"Arnold, Hopkins and Harmon",359724.47
G200220,Nichols-Guerrero,180269.85
G200221,Nicholas Stephens,392753.45
G200222,"Taylor, Gonzalez and Rivera",259773.74
G200223,Sullivan-Johnson,190216.08
G200224,Young-Ayala,7007.44
G200225,"Johnson, Rhodes and Ortiz",197973.16
G200226,"Thomas, Simpson and Blair",92971.37
G200227,Clay Ltd,151608.15
G200228,Mccall LLC,120041.05
G200229,Kelley-Bishop,321613.92
G200230,Ann Peterson,453881.74
G200231,"Ellis, Huerta and Brown",101163.92
G200232,Johnson Ltd,231195.42
G200233,Wayne Thompson,432193.04
G200234,Mark Meza,135723.91
G200235,"Cooper, Hendricks and Perkins",361803.11
G200236,"Bolton, Salas and Lucero",369105.08
G200237,Young-Perez,485153.22
G200238,"Rodriguez, Case and Warren",45449.39
G200239,Andrew Harris,486846.88
G200240,Rojas PLC,376619.82
G200241,Nicholas Weiss,46118.51
G200242,Garcia Group,265646.27
G200243,Martinez-Ramirez,180578.15
G200244,"Lopez, Knight and Williams",75000.72
G200245,Garcia-Scott,166403.29
G200246,Rose Inc,314566.67
G200247,Chung-Gilbert,321468.71
G200248,Kevin Dudley,329633.15
G200249,Stone-Noble,439507.3
G200250,Michael Walker,402461.81
G200251,Perez-Johnson,271477.79
G200252,"Hall, Meyer and Henderson",156977.34
G200253,"Acosta, Howard and Ross",275144.38
G200254,Joe Garcia,82039.37
G200255,Watson-Carr,430191.66
G200256,Cooper PLC,454085.01
G200257,Lindsey Phillips,115922.98
G200258,"Fleming, Meyer and Lopez",352748.05
G200259,Joshua Bennett,410316.65
G200260,White-Young,100709.47
G200261,Ariel Gross,446127.94
G200262,Patel Ltd,133903.41
G200263,Anthony Miller,188566.3
G200264,"Lee, Leonard and Stone",112843.24
G200265,Dennis Smith,23760.8
G200266,Anna Palmer,377588.07
G200267,Hines PLC,125722.66
G200268,Guerrero PLC,113572.02
G200269,Brenda Cox,444348.31
G200270,Johnson-Garza,469209.5
G200271,"Harris, Sims and Chandler",45824.48
G200272,Peterson-Ward,361800.74
G200273,Robert Dorsey,472485.35
G200274,"Davidson, Martin and Ochoa",192464.3
G200275,Taylor-Fowler,404632.52
G200276,Crawford-Wong,66376.12
G200277,Chase Daniels,228694.84
G200278,Elliott Group,185694.86
G200279,"Marshall, Jensen and Marshall",334329.9
G200280,Jack Jones,350780.5
G200281,Marshall Inc,366224.95
G200282,Ann Torres,494029.28
G200283,Tina Kennedy,381559.3
G200284,"Meadows, Ford and Smith",112837.43
G200285,Jones LLC,140598.67
G200286,Scott Ltd,70409.56
G200287,"Parker, Huffman and Gordon",442580.98
G200288,"Clark, Ho and Green",250917.5
G200289,Mcguire Inc,72129.51
G200290,Smith and Sons,421813.0
G200291,"Bell, Cooper and Cervantes",484198.32
G200292,Fox Group,146624.65
G200293,Henry-Moore,287909.81
G200294,"Ramirez, Henry and Cook",95232.04
G200295,Smith-Miller,116304.26
G200296,"Villarreal, Beck and Meyer",454188.35
G200297,Brown-Ruiz,136689.52
G200298,Harmon PLC,298689.55
G200299,"Brown, Armstrong and Wilson",271996.66
G200300,"Hull, Brown and Ward",486956.21
G200301,Laura Flores,279409.24
G200302,Greene Group,16741.08
G200303,"Jackson, Young and Horton",221412.6
G200304,Beth Jensen,448176.35
G200305,Amanda Johnson,376460.11
G200306,Tate-Petersen,404292.52
G200307,Heath-Miranda,91833.0
G200308,"Hall, Austin and Anderson",253254.9
G200309,Peterson-Vargas,258981.97
G200310,Kelly Hensley,59586.93
G200311,Scott-Parks,53329.02
G200312,White-Evans,127676.53
G200313,"Whitaker, Whitehead and Thompson",96978.44
G200314,"Leon, Smith and Brown",263035.52
G200315,"Morrow, Lee and Harper",313598.52
G200316,Mark Ramirez,114972.21
G200317,Sexton and Sons,199225.18
G200318,Cooper-Pineda,283628.02
G200319,Carney Group,273765.16
G200320,Alejandro Goodman,90622.08
G200321,Solis-Rasmussen,217961.61
G200322,"Gonzalez, Hunt and Owens",472386.11
G200323,Scott and Sons,172608.73
G200324,"Kennedy, Frye and Weaver",229250.64
G200325,"Orozco, Jones and Curry",323460.21
G200326,"Miller, Lee and Barton",206678.44
G200327,Wade LLC,463339.82
G200328,Mark Reynolds,31323.6
G200329,Carroll-Johnson,335669.11
G200330,"Holmes, Maxwell and Barnes",330266.28
G200331,Brittney Brown,393516.6
G200332,Morris and Sons,321454.79
G200333,Goodman-Cook,234182.81
G200334,"Taylor, Rodriguez and Oconnor",303722.24
G200335,Xavier Bates,31196.4
G200336,Smith-Marks,356333.95
G200337,"Johnson, Sutton and Bauer",221669.17
G200338,Nguyen LLC,134598.76
G200339,Robert Woodard,318440.38
G200340,Andrew Ibarra,88243.95
G200341,Molly Myers,110507.19
G200342,"Jones, Dixon and Ochoa",374636.76
G200343,"Harrison, Lam and Rodriguez",399992.79
G200344,Donna Hubbard,337665.04
G200345,Thomas Jimenez,396804.09
G200346,Andrew Bauer,211463.39
G200347,Davis and Sons,310741.77
G200348,Hall-Harvey,311403.62
G200349,Hernandez-Williams,129190.68
G200350,Armstrong-Davis,211392.36
G200351,"Ramos, Dudley and Zuniga",381198.4
G200352,Hannah Jones,43775.84
G200353,Jordan Inc,386321.42
G200354,Thompson-Smith,228847.14
G200355,"Ortiz, Armstrong and Byrd",245744.08
G200356,Greene Ltd,50613.52
G200357,Allen-Warren,127346.07
G200358,"Stephens, Flowers and Williams",222554.26
G200359,Daniel Walter,75322.5
G200360,Levy and Sons,8953.55
G200361,Salinas and Sons,409344.98
G200362,Julie Cunningham,215267.28
G200363,Smith Group,257136.44
G200364,Martin Inc,47915.97
G200365,Walters-May,41191.28
G200366,Johnson-Kelley,239444.44
G200367,Stephanie Gallegos,102354.82
G200368,Monica Page,360795.92
G200369,Jessica Watson,161673.88
G200370,Callahan-Williams,115715.3
G200371,Turner-Gonzalez,9215.37
G200372,"Lee, Hughes and Vargas",449286.18
G200373,"Cohen, Butler and Nelson",200799.21
G200374,Anderson-Mcgrath,180452.06
G200375,Anthony Flowers,42485.14
G200376,Collier Inc,367115.99
G200377,Ramirez-Miller,492783.21
G200378,Spencer-Randolph,491806.4
G200379,Jessica Holland,403095.18
G200380,Caitlin Richardson,299921.08
G200381,Williams-Ward,474813.84
G200382,Mccoy-Hodges,463063.75
G200383,Alvarado-Swanson,456160.91
G200384,Anthony Parrish,322314.8
G200385,Watkins-Torres,80404.85
G200386,Huerta Ltd,141341.53
G200387,Ashley Kelly,46549.24
G200388,Henry Wilson,132080.8
G200389,Williams-Bonilla,99112.37
G200390,Ortiz and Sons,341808.85
G200391,Allen Inc,468216.89
G200392,Norman and Sons,330439.48
G200393,Michael Hernandez,84753.97
G200394,"Preston, Wood and Nicholson",329306.64
G200395,Scott Fisher,354384.97
G200396,Daniel Graham,98196.94
G200397,Baker-Wood,87046.75
G200398,Bowman-Hicks,373032.67
G200399,Levine and Sons,343475.71
G200400,Ashley Lewis,144109.83
G200401,Joseph Long MD,410975.11
G200402,Cole-Nichols,431146.31
G200403,Patterson Inc,100010.75
G200404,Allen-Tran,16411.37
G200405,Christie Santos,244065.79
G200406,Jordan Vaughan,329276.01
G200407,Carla White,297421.88
G200408,"Vaughn, Long and Hardin",370144.76
G200409,Cook and Sons,103057.23
G200410,"Gardner, Wagner and Morrison",414571.6
G200411,David Lyons,60222.77
G200412,Kayla Alvarez,77858.94
G200413,Gomez Ltd,64524.89
G200414,Misty Ward DVM,234943.54
G200415,Tammy Bass,217175.25
G200416,Williams-Davis,220197.07
G200417,Brown-Murray,313524.08
G200418,Perkins-Baldwin,192262.8
G200419,Pamela Mccarty,294043.39
G200420,Christina Osborn,77096.7
G200421,Herrera-Stephens,127666.41
G200422,Sara Cantrell,266543.15
G200423,"Eaton, Lee and Bailey",126188.79
G200424,Silva-Hooper,120343.33
G200425,"Nguyen, Fernandez and Clarke",374559.49
G200426,Brown-Craig,265189.73
G200427,"Nixon, Hernandez and Green",28347.29
G200428,"Castro, Bailey and Jones",432856.49
G200429,Ronald Martinez,448586.92
G200430,Douglas and Sons,95738.92
G200431,Kristine Obrien,233470.98
G200432,Perez PLC,14846.76
G200433,Matthews-Cooper,351247.61
G200434,Michael Gibson,40810.53
G200435,Edwards-Liu,45329.38
G200436,Clark-Baker,498512.68
G200437,Hatfield-Collins,387926.74
G200438,Burke Ltd,141067.84
G200439,Berg Ltd,278445.61
G200440,Mitchell Sandoval,329950.41
G200441,Vega PLC,140681.59
G200442,Galloway and Sons,123097.61
G200443,Martinez-Stanley,100503.13
G200444,Tami Yu,225443.62
G200445,Angela Garcia,173740.48
G200446,Matthew Benitez,294940.94
G200447,"Elliott, Wheeler and Holder",86814.62
G200448,Adams-Rosales,433492.61
G200449,Price LLC,345674.83
G200450,Dillon-Smith,436696.59
G200451,Michael Lozano,300560.35
G200452,Hansen-Roberts,8853.4
G200453,Alvarez-Smith,140192.36
G200454,Gonzalez-Clark,461787.54
G200455,Christensen Inc,35560.7
G200456,Cody Richmond,270357.17
G200457,Thompson-Patel,231715.91
G200458,Tammy Adams,115414.72
G200459,Smith Inc,351591.56
G200460,Joyce Cole,275408.53
G200461,Long LLC,115388.82
G200462,Schultz and Sons,282412.07
G200463,Wanda Kirk,156126.66
G200464,Perez PLC,375619.94
G200465,Nicholas Coleman,313520.41
G200466,Bryant LLC,368013.47
G200467,Townsend-Fritz,356058.62
G200468,Yang Ltd,406384.64
G200469,Brandon Snyder,59585.03
G200470,Bailey and Sons,188308.99
G200471,Boyd-Wyatt,233461.92
G200472,Weber-Aguilar,428930.78
G200473,"Parker, Wilson and Graham",164032.14
G200474,Garcia PLC,314326.17
G200475,"Jones, Wilkins and Johnson",270478.36
G200476,"Mclean, Garner and Myers",143596.6
G200477,Stephanie Jones,447605.43
G200478,"Bass, Robinson and Hill",78052.94
G200479,Wilson-Townsend,460276.21
G200480,Wright-Henry,264010.5
G200481,Kevin Mccullough,202604.31
G200482,Kenneth Best,424465.57
G200483,"Smith, Wright and Ramos",51567.64
G200484,"Davis, Mcdonald and Russell",434433.34
G200485,Solis PLC,86086.15
G200486,David Anderson,377882.43
G200487,Sharon Nguyen,16656.85
G200488,Laura Bonilla,291666.43
G200489,Swanson-Miller,15680.54
G200490,Buchanan-Melendez,359197.8
G200491,Mike Parks,38002.95
G200492,Terri Little DDS,156300.71
G200493,"Lowery, Richards and Gonzales",187016.78
G200494,"Jacobs, Griffin and Gilbert",10714.71
G200495,Corey Wilson,367815.26
G200496,"Jones, Russo and Duran",132384.17
G200497,Thomas Nelson,482442.72
G200498,Courtney Tyler,204580.43
G200499,Mark Rose,304953.33
G200500,Janet Dean,256196.09
G200501,Anne Patterson,439810.25
G200502,Smith Group,193673.14
G200503,"Chen, Floyd and Tapia",218049.64
G200504,Melendez-Garcia,281250.67
G200505,"Miller, Ruiz and Roberts",66390.68
G200506,"Garcia, Weaver and Marshall",287166.56
G200507,Travis Ruiz,413178.32
G200508,Kelly Herrera,299610.17
G200509,Ann Woods,274769.7
G200510,"Young, Ortiz and Dawson",334729.07
G200511,Zachary Edwards,44480.24
G200512,"Bryant, Craig and Wilson",267702.46
G200513,Ellis Ltd,481078.78
G200514,Shaffer Inc,227373.79
G200515,Mann-Moore,279803.16
G200516,"Morgan, Gomez and Ellison",217372.88
G200517,Moreno Ltd,438772.05
G200518,"Harris, Armstrong and Trevino",386721.68
G200519,"Wiley, Mccall and Atkinson",267187.92
G200520,Moore-Harrison,228748.91
G200521,"Gonzalez, Mann and Reilly",127724.29
G200522,Tracy Roberts,36174.4
G200523,"Patterson, Coffey and Rogers",14803.14
G200524,Brown-Williams,58536.66
G200525,Oneal and Sons,342555.33
G200526,Brown-Mitchell,377212.31
G200527,Amy Smith,323246.76
G200528,Nielsen PLC,138581.1
G200529,Spencer and Sons,255360.72
G200530,Cortez LLC,321176.24
G200531,Thompson PLC,164187.99
G200532,"Phillips, Benson and Turner",441892.02
G200533,"Charles, Clark and Powers",375300.74
G200534,Richard Fernandez,384782.13
G200535,Kaitlyn Warner,361914.76
G200536,Dodson Group,213830.02
G200537,Quinn-Pham,347149.1
G200538,Tammy Edwards,385601.02
G200539,"Clayton, Guerra and Brown",451748.53
G200540,Hunt Group,111309.19
G200541,Solis Group,270119.86
G200542,French-Moon,365489.44
G200543,Morgan-Price,480340.45
G200544,Zachary Smith,455111.13
G200545,Gordon Group,155062.2
G200546,Nicole Tucker,61364.74
G200547,Dunn-Hernandez,484171.47
G200548,Sawyer-Powers,257194.53
G200549,Annette Greene,76035.55
G200550,"Miller, Weeks and Stuart",55481.44
G200551,Cantrell Group,380846.6
G200552,Tracy Rios,285621.33
G200553,Delgado Ltd,259590.89
G200554,Morton-Keith,149661.58
G200555,Willis Group,259167.3
G200556,Ashley-George,496706.47
G200557,Luis Carpenter,9325.75
G200558,Madison Jones,301503.09
G200559,Silva-Zamora,398070.35
G200560,Kaylee Campbell,57985.18
G200561,Bishop Inc,103226.84
G200562,Yoder-Harrell,278731.96
G200563,Scott Jones,206754.32
G200564,"Steele, Ochoa and Chapman",426763.56
G200565,Kevin Mcdaniel,399792.64
G200566,Palmer-Jackson,429414.8
G200567,Mcintosh-Wolf,267158.3
G200568,Clay and Sons,127740.51
G200569,"Carroll, Gonzalez and Acosta",429084.89
G200570,Jackson-Avery,41916.17
G200571,Green Inc,17969.29
G200572,Melinda Johnson,405854.56
G200573,Emma Harris,316633.76
G200574,"Smith, Espinoza and Keller",105609.42
G200575,Park and Sons,16758.94
G200576,"Hamilton, Wilson and Nichols",487172.9
G200577,Love-Chen,128373.15
G200578,Garcia-Henderson,357807.7
G200579,Williams LLC,461808.06
G200580,King-Dillon,105597.71
G200581,Lopez PLC,346828.68
G200582,"Wagner, Skinner and Glass",15964.82
G200583,Walls PLC,188471.5
G200584,"Delgado, Soto and Gill",281932.75
G200585,Humphrey-Cook,74835.62
G200586,"Hicks, Lewis and Garcia",104907.82
G200587,James Vincent,20396.16
G200588,Martin-Johnson,438535.8
G200589,Robert Griffin,76081.43
G200590,"York, Jackson and Greene",180774.76
G200591,Wood Ltd,385085.42
G200592,Walker Group,149339.64
G200593,Melissa Lewis,163189.83
G200594,April Jones,179709.05
G200595,"Arnold, Brown and Butler",255193.81
G200596,Jennifer Smith,340697.4
G200597,Sutton and Sons,443051.04
G200598,Garcia Ltd,428305.97
G200599,Johnson-Meadows,134789.09
G200600,Hughes LLC,334712.0
G200601,Jessica Soto,162970.14
G200602,"Berry, Caldwell and Hinton",309777.72
G200603,Duane Martin,282635.68
G200604,"Sanders, Marshall and Delgado",208900.19
G200605,Benjamin Flores,154080.35
G200606,Hardy and Sons,284517.58
G200607,Jason Scott,317919.87
G200608,Woodward PLC,316433.66
G200609,"Fisher, Gordon and Wilson",405720.15
G200610,Smith-Ellis,256092.18
G200611,Shawn Harper,30008.04
G200612,Derek Phillips,80919.68
G200613,Marks-Aguirre,253710.03
G200614,Petty-Stafford,133633.73
G200615,Howard PLC,206553.19
G200616,Lisa Smith,443345.61
G200617,Hawkins and Sons,399915.4
G200618,"Carey, Koch and Morris",356548.34
G200619,Dean and Sons,11158.41
G200620,Ramirez-Powell,441243.89
G200621,Wright PLC,95208.56
G200622,Samuel Maldonado,178061.63
G200623,Anderson-Nguyen,229457.63
G200624,Shirley Baird,21742.05
G200625,Anthony Smith,427633.6
G200626,Jacob Kane,374751.05
G200627,Christopher Owens,260512.75
G200628,"Carr, Taylor and Meyer",267815.34
G200629,Alexander Rhodes,163134.94
G200630,Scott Ltd,27685.45
G200631,Michael Juarez,95413.98
G200632,Martin-Flores,438117.56
G200633,Powell LLC,4525.2
G200634,Andrew Yu,420801.43
G200635,"Hines, Sweeney and Dunlap",196235.62
G200636,Graham-Alvarez,40343.28
G200637,Frazier-Rangel,17504.89
G200638,Anna Webb,161550.94
G200639,Christopher Richardson,242144.06
G200640,Sandoval-Pratt,438326.09
G200641,Holly Blackwell,357843.58
G200642,"Moore, Perry and White",293653.76
G200643,Dawson and Sons,251309.15
G200644,"Molina, Hunter and Moore",312652.47
G200645,Dennis Ray,259458.14
G200646,"Barnes, Peters and Farrell",134023.66
G200647,Hill-Boyle,356168.29
G200648,Cabrera LLC,39469.5
G200649,Owens-Cohen,67802.94
G200650,"Norman, King and Nelson",440393.65
G200651,Alyssa Wilson,431354.46
G200652,Coffey-Roberts,408143.48
G200653,Robertson-Williams,11727.81
G200654,Christian Orozco,324421.16
G200655,"Ruiz, Castillo and Edwards",314286.44
G200656,"Hartman, Williams and Oneill",171417.76
G200657,"Brown, Roberts and Wilson",449252.66
G200658,"Sloan, Adams and Daniels",5019.49
G200659,"Stevens, Simmons and Guerrero",23867.07
G200660,"Price, Sanchez and Dudley",20276.74
G200661,Holder PLC,352750.58
G200662,Lindsey Group,379939.89
G200663,Davis-Jackson,109656.18
G200664,Randall Hickman,96444.45
G200665,Montoya-Williams,395146.97
G200666,"Carter, Parker and Brown",413379.59
G200667,Tonya Thomas,77842.24
G200668,Eric Drake,364386.17
G200669,Washington-Smith,231533.32
G200670,Olson Ltd,376867.13
G200671,Hernandez Group,445537.03
G200672,Russell Mercado,278524.97
G200673,"Meadows, Murphy and Jacobson",179093.84
G200674,Beard-Garrett,223668.19
G200675,Morales-Gomez,63382.61
G200676,"Foster, Campbell and Rose",441867.61
G200677,Mitchell-Marquez,277882.23
G200678,Reynolds Inc,29086.07
G200679,Hicks-White,98423.42
G200680,Medina-Washington,203612.53
G200681,Richard Johnston,210244.8
G200682,Chase Campbell,229321.51
G200683,"Horton, Parker and Walton",139335.85
G200684,Marvin Dawson,105597.73
G200685,Tina Hart,473577.96
G200686,Hunter Inc,479396.32
G200687,Renee Dean,79207.88
G200688,Tiffany Frey,100125.36
G200689,Bartlett Inc,274891.16
G200690,Jasmine May,38820.19
G200691,Daugherty-Rodriguez,301131.49
G200692,Hernandez-Davis,161662.3
G200693,"Hill, Ramirez and Ellis",476470.95
G200694,"Becker, Allen and Clark",83492.43
G200695,Brown Ltd,366831.65
G200696,Michael Berry,448113.04
G200697,Paige Martinez,222160.66
G200698,Michelle Carrillo,213768.07
G200699,Frazier-George,185869.13
G200700,Crosby Inc,325451.75
G200701,Jacob Dominguez,419219.12
G200702,Brown-Mcintosh,289158.39
G200703,Daniel Santiago,487757.12
G200704,"Ford, Flynn and Elliott",387535.14
G200705,Harris Inc,69955.55
G200706,Hill-Ochoa,79674.2
G200707,"Bell, Ferguson and Hoffman",250700.46
G200708,Alicia Hall,247112.0
G200709,"Smith, Bauer and Davis",247155.41
G200710,Cathy Grimes,125679.93
G200711,"Rojas, Bryan and Dunlap",147365.42
G200712,Avila LLC,341086.87
G200713,Gary Meyers,53693.76
G200714,Smith Ltd,139774.03
G200715,Joshua Bell,285329.84
G200716,Martinez LLC,442587.21
G200717,Gonzalez PLC,386529.27
G200718,"Cunningham, Golden and Caldwell",487885.7
G200719,Mcneil-Curtis,205412.52
G200720,"Rodriguez, Nguyen and Lee",357411.85
G200721,Jamie Collins,308189.47
G200722,Monica Brown,169987.43
G200723,Douglas Norton,68488.01
G200724,Delgado-Rivera,310676.46
G200725,Fisher PLC,214681.9
G200726,Rodriguez-Andrews,288446.37
G200727,Jackson Ltd,21760.99
G200728,Gary Johnson,4786.64
G200729,French PLC,98219.51
G200730,"Morales, Contreras and Gonzalez",94821.41
G200731,Amber Buchanan,359506.46
G200732,"Gibson, Mann and Burgess",58403.78
G200733,"Simmons, Bryant and Marshall",370490.89
G200734,White Ltd,17135.06
G200735,Byrd LLC,418376.62
G200736,Kimberly Medina,391839.98
G200737,Hale Group,22797.13
G200738,Palmer Ltd,117336.76
