Policy No,Client Name,Premium
L100285,Gabriel Pennington,174049.69
L100286,Cesar Washington,241748.64
L100287,Yvette Ryan,114671.82
L100288,Kristy Morris,163987.62
L100289,Joseph Duffy,37463.12
L100290,Chad Ramsey,148465.95
L100291,Lance Baker,35995.42
L100292,Alyssa Taylor,139372.7
L100293,Teresa Gill,54615.9
L100294,Edward Davis,80777.91
L100295,Gloria Jones,74807.13
L100296,Vanessa Sloan,124855.45
L100297,Julia Hernandez DDS,133419.98
L100298,Lisa Johnson,158738.4
L100299,Jeffrey Brown,186323.08
L100300,Elizabeth Santiago,75875.1
L100301,Carla Keller,172109.44
L100302,Justin Gross,14185.05
L100303,Theresa Thomas,89928.52
L100304,Melissa Ortiz,180490.45
L100305,James Lawrence,194685.36
L100306,Wanda Wilson,41631.95
L100307,Jason Pineda,86445.87
L100308,Courtney Lindsey,178619.88
L100309,Joseph Donovan,159619.36
L100310,Christopher Phillips,241293.1
L100311,Douglas Fitzpatrick,211080.68
L100312,Kim Hughes,150926.08
L100313,Penny Zimmerman,208313.02
L100314,Alexandra Welch,50022.81
L100315,Ryan Petersen,128769.33
L100316,Jennifer Henderson,47306.6
L100317,Antonio Knight,23379.01
L100318,Steven Anderson,14356.96
L100319,Johnathan Morrow,69880.36
L100320,Kyle Martinez,18558.1
L100321,Jon Evans,212017.95
L100322,Eric Cruz,157860.32
L100323,Bradley Reyes,107353.46
L100324,Brandon Ferrell,90948.28
L100325,Mark Porter,215156.98
L100326,Derrick Jones,165127.35
L100327,Debbie Watts,206227.85
L100328,Kyle Gomez,36162.59
L100329,Andre Villarreal,99083.12
L100330,Dawn Erickson,178367.12
L100331,Jonathan Ingram,6819.66
L100332,Travis Vega,248106.21
L100333,Marvin Rodgers,101922.74
L100334,Jose Mayo,113208.97
L100335,Kimberly Bennett,137809.78
L100336,Henry Scott,92698.36
L100337,Kelly Martin,48868.17
L100338,Tanya Walton,132867.75
L100339,Pedro Smith,178967.39
L100340,David Thompson,230566.29
L100341,Dustin Taylor,148718.34
L100342,Brandi Stephens,96770.35
L100343,David Osborne,50498.0
L100344,Lindsey Oneill,111525.46
L100345,John Richardson,149584.93
L100346,Parker Crawford,114629.84
L100347,Stephanie Hobbs,184058.14
L100348,Tracy Cardenas,105037.66
L100349,Julia Perez,114485.31
L100350,Joe Boyer,50275.04
L100351,Jordan Wilson,80033.95
L100352,Adam Rangel,169906.48
L100353,Gary Martin,32499.31
L100354,Fernando Lewis,190298.98
L100355,Thomas Ball,80911.03
L100356,Nicholas Reyes,68657.13
L100357,Tina Holder,218430.35
L100358,Michael Young,17644.67
L100359,Mary Li,42133.02
L100360,Christine Wagner,103267.83
L100361,Jacqueline Richardson,119040.22
L100362,Nicole Watkins,205717.05
L100363,Shaun Thompson,11850.56
L100364,Dr. Eric Tran,221237.48
L100365,Curtis Cox,41814.81
L100366,James Herring,109078.08
L100367,Michael Mendoza,37989.42
L100368,Joseph Weaver,143299.02
L100369,Kimberly Graham,41586.93
L100370,Nicole Matthews,210257.35
L100371,Tony Ayala,88022.17
L100372,Dana Carrillo,104035.19
L100373,Amanda Walker,81221.46
L100374,Dennis Mccall,26096.85
L100375,Tracy Guzman,45505.87
L100376,Kristen Miller,110098.07
L100377,Gary Martin,17081.71
L100378,Robert Martin,20729.84
L100379,Michael Black,79387.0
L100380,Renee White,208748.65
L100381,Matthew Young,242162.55
L100382,Melissa Arnold,41875.23
L100383,Jason Castillo,26193.64
L100384,Robert Hughes,83993.18
L100385,Erica Rios,32577.08
L100386,Allison Baker,213109.06
L100387,Reginald Turner,123209.53
L100388,Tammy Zamora,75479.1
L100389,Randall Gardner,87880.17
L100390,Christian Nelson,180064.11
L100391,Rebecca Black,62176.98
L100392,Andrew Marshall,136496.8
L100393,Lisa Petersen,195999.7
L100394,Lydia Avery,188560.41
L100395,Rachel Freeman,163213.11
L100396,Paul Johnson,106370.23
L100397,Tristan Jenkins,197225.58
L100398,Charles Stewart,239925.17
L100399,Juan Jacobs,174861.82
L100400,Laura Graham,195287.83
L100401,Dana Miller,23342.93
L100402,Amy Murphy,173675.04
L100403,Jason Frazier,197922.75
L100404,Scott Jackson,126127.59
L100405,Adam Schneider,132407.39
L100406,Virginia Rivers,237175.6
L100407,Jack Chandler II,98625.95
L100408,Melissa Pena,67249.74
L100409,Keith Bryan,150812.54
L100410,Leonard Scott,157912.37
L100411,Sarah Miller,122158.54
L100412,Taylor Brown,27242.52
L100413,Peter Hernandez,244419.12
L100414,Emily Ayala,203649.34
L100415,Priscilla Clark,87864.38
L100416,David Hernandez,53791.01
L100417,Kelly Morales,66542.13
L100418,Gabriel Gross,109419.22
L100419,Dylan Vasquez,245860.39
L100420,William Reilly,76446.65
L100421,Tracy Howell,51951.17
L100422,Derek Thompson,172355.37
L100423,Sabrina Acevedo,166072.76
L100424,Jamie Calhoun,79058.54
L100425,James Parker,54935.91
L100426,Austin Schneider,76123.34
L100427,Jenna Todd,83030.91
L100428,Cassidy Mcdowell,69974.11
L100429,Kimberly Trevino,205643.1
L100430,Kristen Dalton,70918.93
L100431,Jessica Brown,239142.17
L100432,Bryan Gordon,108011.87
L100433,Chelsea Garcia,59914.13
L100434,Peter Mitchell,244577.62
L100435,Amy Adams,227769.27
L100436,Jonathon Ortiz,12450.13
L100437,Renee Lane,113576.4
L100438,Donna Jackson,167800.54
L100439,Mary Jones,228653.6
L100440,Brian Guzman,132395.4
L100441,Joseph Hernandez,181081.27
L100442,Tim Jones,208978.32
L100443,Tammy Clark,223606.89
L100444,Misty Kramer,69631.2
L100445,John Nelson,76360.64
L100446,Vincent Jacobson,10100.76
L100447,Michael Booth,155377.94
L100448,David Mitchell,66772.08
L100449,Jean Turner,9963.89
L100450,Vanessa Harris,218009.68
L100451,Michael Thompson,144414.96
L100452,Lisa Reyes,59677.1
L100453,David Gibson,36094.58
L100454,Harry Hood,247936.44
L100455,James Cruz,60620.17
L100456,Ashley Erickson,111736.24
L100457,Jennifer Stark,249213.83
L100458,Michael Ward,24854.79
L100459,Anthony Mack,19206.59
L100460,Joshua Moore,13598.74
L100461,Gary Wright,176257.58
L100462,Megan Avila,44482.97
L100463,Jamie Brown,196562.14
L100464,Stephen Wang,142819.05
L100465,Robert Campbell,29276.81
L100466,Ashley Johnson,243572.61
L100467,Patricia Cervantes,115972.75
L100468,George Hardin,22644.51
L100469,Anthony Moore,201430.72
L100470,Kyle Burns,150671.97
L100471,Maria Hampton,178345.62
L100472,Kristy Hays,120929.75
L100473,Paul Watts,169094.46
L100474,Laura Gregory,122967.56
L100475,Heather Dickson,117191.15
L100476,Miss Crystal Gilbert MD,235749.67
L100477,Meredith Garcia,123458.26
L100478,Robert Fields,208734.98
L100479,Joel Valdez,19347.87
L100480,Linda Young,149534.92
L100481,Adriana Henson,59170.16
L100482,Stephen Fisher,86367.16
L100483,Timothy Hill,96296.19
L100484,Tony Lewis,30216.86
L100485,Susan Osborn,133990.49
L100486,Nicole Shields,151548.65
L100487,Daniel Ward,57667.27
L100488,Patricia Campbell,222766.4
L100489,James Morales MD,118605.83
L100490,Jacob Franco,27367.47
L100491,Julie Wagner,231225.85
L100492,Theresa Fry,198315.85
L100493,Emily Moss DDS,78753.13
L100494,Manuel Anderson,163468.6
L100495,Jennifer Taylor,144417.72
L100496,Brandon Evans,143368.48
L100497,Devin Alvarez,189160.41
L100498,Glen Hamilton,75354.05
L100499,Katherine Paul,66677.36
L100500,Martin Bautista,150115.32
L100501,Kelly Hawkins,162016.31
L100502,Tracy Ellis MD,179194.12
L100503,Nicholas Holden,58393.21
L100504,Chelsea Lewis,163996.99
L100505,Joel Dodson,46712.06
L100506,Ryan Flores,59545.71
L100507,Donald Hoffman,75608.24
L100508,Elizabeth Wong,233883.21
L100509,Andrea Fischer,190157.26
L100510,Faith Hodge,247902.3
L100511,Alan Richardson,193342.98
L100512,Bryan Bridges,23619.3
L100513,Laura Nelson,97362.02
L100514,Ashley Carter,34509.83
L100515,Jimmy Jones,143906.71
L100516,Michael Rodriguez,79602.57
L100517,Linda Vargas,174031.23
L100518,Brandon Ford,96140.74
L100519,Tara Silva,117132.11
L100520,Phyllis Fields,165726.58
L100521,Joshua Mcdonald,113936.65
L100522,Timothy Thompson,179576.57
L100523,James Smith,243779.44
L100524,Erica Keith,176085.12
L100525,Meredith Anderson,175224.76
L100526,Michael Allen,116357.23
L100527,David Carter,88554.19
L100528,Gina Brown,34057.23
L100529,Erin Kelly,111035.7
L100530,Jennifer Rodriguez,64220.97
L100531,Anthony Morales,56478.1
L100532,Leslie Gonzalez,83219.9
L100533,Robert Roberts,21813.33
L100534,Fernando Lopez,117536.76
L100535,Mark Gomez,103891.51
L100536,Rhonda Barnes,25280.4
L100537,Kellie Bradford,43760.94
L100538,Doris Duffy MD,105058.07
L100539,Donna Myers,146621.36
L100540,Christine Cook,199356.15
L100541,Linda Rush,101674.59
L100542,Melissa Chapman,72857.46
L100543,Heather Shannon,121856.6
L100544,Corey Sandoval,152489.04
L100545,Joseph Crane,17132.56
L100546,Jeremiah Wright,48327.4
L100547,William Diaz,82118.22
L100548,Carl Blake,164152.45
L100549,Michelle Arellano,36246.88
L100550,Tonya Burns,128278.54
L100551,Brian Ayers,196182.4
L100552,Erica Hebert,129068.82
L100553,William Ellis,79743.55
L100554,Robin Chandler,53633.29
L100555,Frank Taylor,219562.61
L100556,Michelle Hamilton,75552.57
L100557,Gabriel Horton,184102.8
L100558,Amanda Dixon,141382.24
L100559,Courtney Gibbs,108532.12
L100560,Johnny Petty,155742.26
L100561,Jennifer Harris,20621.97
L100562,Mitchell Stewart,176129.5
L100563,Jennifer Pierce,38288.68
L100564,Richard Ward,140991.27
L100565,Karen Martinez,132668.25
L100566,Cassandra Jordan,19140.04
L100567,Cynthia Banks,58877.71
L100568,Anthony Marquez,167589.38
L100569,Christian Mack,5078.46
L100570,Adam Petty,142119.2
L100571,Jasmine Smith DVM,220799.27
L100572,Jennifer Russell DVM,57124.28
L100573,Brandon Lopez,165766.0
L100574,Holly Young,121892.03
L100575,Lance Ward,121694.26
L100576,Dylan Ford,54505.98
L100577,Jennifer Hatfield,9076.19
L100578,Andrew Cross,162171.98
L100579,William Gates,122685.15
L100580,Leslie Olson,30370.42
L100581,Mary King,149628.01
L100582,James Adams,44535.7
L100583,Rebecca Bishop,193352.37
L100584,Lawrence Hart,166226.92
L100585,John Palmer,191319.63
L100586,Lisa Smith,120285.99
L100587,Samantha Gomez,136499.75
L100588,Andrew Davis,191754.37
L100589,Victoria Gonzalez,42702.19
L100590,Emily Shah,132088.53
L100591,Kristie Edwards,186478.74
L100592,Hannah Brown,205079.07
L100593,Henry Lynch,185686.13
L100594,Mrs. Sydney Guzman DDS,207085.65
L100595,Wayne Nichols,157192.75
L100596,Susan Myers,41421.35
L100597,Samuel Ward,189435.87
L100598,Meghan Diaz,171429.91
L100599,Hayden Cuevas,50686.86
L100600,Daniel Williams,184284.3
L100601,Robert Parks,7084.93
L100602,James Phillips,57201.51
L100603,Timothy Rich,51105.37
L100604,Deborah Church,198220.45
L100605,Samuel Parker,104009.93
L100606,Angela Jones,106791.97
L100607,Megan Cooper,16187.5
L100608,Alison Gray,225038.35
L100609,Tammy Grant,232101.69
L100610,Kyle Dunn,34745.78
L100611,William Smith,27962.42
L100612,Monica Murray,73115.62
L100613,Javier Lopez,206352.48
L100614,Howard Martin,180174.4
L100615,Pamela Young,171408.13
L100616,Lauren Young,40561.79
L100617,Shawn Griffith,184476.34
L100618,Stephanie Boone,15031.92
L100619,Martin Johnson,132932.46
L100620,Alexis Villanueva,5871.51
L100621,Crystal Miller,150035.14
L100622,Amanda Torres,75914.67
L100623,Sharon White,148740.17
L100624,Kendra Atkins,80898.17
L100625,John Morse,85190.66
L100626,Todd Prince,140242.81
L100627,Harold Miranda,167926.47
L100628,Lance Beck,65413.72
L100629,Emily Thomas,49644.73
L100630,Peter Park,223213.75
L100631,Michael Love,59517.6
L100632,Maria Reyes,55362.98
L100633,William Decker,134883.55
L100634,Cristian Norman,81035.42
L100635,George Fields,58273.19
L100636,Christopher Olson,48497.74
L100637,Sean Marshall,178324.18
L100638,Dennis Smith,129453.12
L100639,Jill Fleming,65258.68
L100640,Nicole Harding,172878.74
L100641,Tracy Johnson,106461.37
L100642,James Smith,222665.59
L100643,Kevin Silva,46189.79
L100644,David Wells,225004.69
L100645,Michelle Stuart,235955.77
L100646,Erika Taylor,119498.01
L100647,Edward Garcia,150714.34
L100648,Terry Davis,176109.23
L100649,Charles Clark,96559.72
L100650,Jason Sanford MD,209850.03
L100651,Keith Turner,152849.91
L100652,Dr. Stephen Freeman,138205.89
L100653,Mason Neal,32554.97
L100654,Steven Lee,185844.61
L100655,Cynthia Kennedy,67634.38
L100656,Dr. Kelsey Hunt MD,10028.96
L100657,Wanda Jones PhD,192123.91
L100658,Kevin Clark,218748.11
L100659,Jasmine Turner,139328.7
L100660,Alexis Clark,83845.01
L100661,Trevor Scott,92677.83
L100662,Gary Arnold,70271.97
L100663,Kathy Weaver,19302.49
L100664,James Smith,106204.5
L100665,Christina Williams,86650.19
L100666,Deborah Johnson,67021.18
L100667,Danielle Hill,121181.0
L100668,Brandon Villarreal,32845.22
L100669,Kevin Johnson,42048.72
L100670,Virginia Mitchell,141349.64
L100671,Elizabeth Griffin,9693.49
L100672,Stephanie Franklin,192540.38
L100673,Billy Chavez,22551.87
L100674,Nicholas Bryant,174227.32
L100675,Douglas Campbell,48471.59
L100676,Lori Hart,220334.94
L100677,Crystal Bailey,9398.25
L100678,Brian Fleming,78607.26
L100679,Donna Miller,121694.41
L100680,Steven Gardner,174575.31
L100681,Rodney Schmidt,160431.74
L100682,Christopher Richardson PhD,179177.52
L100683,Amy Mills,146482.0
L100684,Dylan Martinez,220527.16
L100685,Mrs. Valerie Ramsey,101980.36
L100686,Eric Rivera,139732.51
L100687,Julie Foster,166326.03
L100688,Monica Andersen,17981.1
L100689,Matthew Foster,206607.16
L100690,Danielle Castro,28523.5
L100691,Grant Cruz,164372.47
L100692,Jesus Guerra,189484.09
L100693,Sheila Bradford,213137.05
L100694,Peter Ray DVM,220156.16
L100695,Jennifer Jensen,43845.48
L100696,Tina Smith,111353.83
L100697,Alexander Johnson,221928.64
L100698,Mr. Steven Erickson DDS,97736.86
L100699,Melissa Hernandez,7022.82
L100700,Christopher Mcdaniel,101975.19
L100701,Stephanie Walsh,106176.2
L100702,Denise King,126744.64
L100703,Susan Casey,17587.96
L100704,Kristine Robinson,10408.96
L100705,Sara Stewart,194870.59
L100706,Mr. Michael Sanchez,180259.24
L100707,Katelyn Scott,58590.02
L100708,Alexander Davidson,176016.76
L100709,Jennifer Rosales MD,184909.19
L100710,Kimberly Gross,176461.57
L100711,Michael Snyder,28777.31
L100712,Scott Brown,38254.27
L100713,Sherry Arnold,132267.79
L100714,Sherry Owens,115296.95
L100715,Randall Bates,243840.68
L100716,James Sloan,39261.43
L100717,Krista Richardson,71233.85
L100718,Christopher Daniels,110300.27
L100719,Randall Moore,168483.2
L100720,Cathy Callahan,152710.76
L100721,Sabrina Everett,115053.62
L100722,Bill Shelton,145279.36
L100723,Hannah Boone,6356.95
L100724,Anthony Evans,82364.99
L100725,Charles Walton,149179.29
L100726,James Sanders,32301.45
L100727,David Dawson,177490.22
L100728,Brandon Walton,21649.94
L100729,Brittany Allen,173745.42
L100730,Devin Griffin,130855.09
L100731,Timothy Smith,124374.29
L100732,Christina Owens,68520.92
L100733,Hunter Rhodes,16321.53
L100734,Patrick Nguyen,145468.09
L100735,Douglas Trujillo,36515.15
L100736,David Moore,240236.6
L100737,Cynthia Lambert,72856.87
L100738,William Barnes,88598.5
L100739,Laura Pena,239630.2
L100740,Mike Baker,24020.99
L100741,Michael Smith,146755.87
L100742,Jorge Mills,88109.21
L100743,Jorge Johnson,30112.36
L100744,Tyler Johnson,225155.79
L100745,Ian Mcgee,156456.84
L100746,Matthew Cook,187627.9
L100747,Kaitlyn Wilson,161776.31
L100748,Christopher Garcia,86027.64
L100749,Michelle Taylor,159584.08
L100750,Kristen Reynolds,36771.51
L100751,Michael King,207613.68
L100752,Jessica Jones,192073.26
L100753,Kevin Nelson,188971.92
L100754,Jeremy Sullivan,54026.89
L100755,Christopher Wilson,33496.4
L100756,Julia Wood,73726.23
L100757,James Morales DVM,162752.08
L100758,Deanna Cook,113478.68
L100759,David Santiago,143656.54
L100760,Austin Jimenez,183651.1
L100761,Katelyn Bell,100356.93
L100762,Jennifer Carroll,216687.18
L100763,Donna Cunningham,200236.09
L100764,Philip Tapia,50890.9
L100765,Joel Tapia,9804.63
L100766,Darryl Miller,165102.53
L100767,Casey Edwards,141915.08
L100768,Matthew White,40067.21
L100769,Jacob Hernandez,33204.65
L100770,Erika Campbell,26260.73
L100771,Jonathan Jackson,224946.19
L100772,Bobby Strong,200951.28
L100773,Larry Morris,54280.01
L100774,Christopher Moore,92151.27
L100775,Benjamin Davidson,182008.65
L100776,Preston Cardenas,138510.57
L100777,Dennis Flores,205452.68
L100778,Emily Chavez,40386.86
L100779,Scott Mendoza,216585.12
L100780,Christopher Young,70169.93
L100781,Michael Brown,180366.32
L100782,Lisa Matthews,18197.15
L100783,Sarah Byrd,77701.03
L100784,Kelly Lee,42177.58
L100785,Jennifer Campbell,147665.64
L100786,Joshua Campos,202153.85
L100787,Crystal Price,87124.04
L100788,Christopher Medina,58516.47
L100789,Terry Clark,146460.86
L100790,James Bishop,36160.28
L100791,Amy Bradley,224094.96
L100792,Mr. William Ford,177425.53
L100793,Jessica Heath,119904.03
L100794,Andrea Jenkins,38099.76
L100795,Kenneth Robinson,193693.56
L100796,Caroline Weber,104877.71
L100797,Noah Perkins,90853.72
L100798,Vanessa Coleman DVM,65508.0
L100799,Dr. Joseph Malone,23826.08
L100800,Kristin Hood,241946.14
L100801,Maria Lindsey,28924.21
L100802,Cheryl Garrett,207821.55
L100803,Shelly Thompson,5837.81
